key,en,fr,es
theTeam,The EEG 101 Team,The EEG 101 Team FR,The EEG 101 Team ES
teamMemberHubert,Hubert Banville - Visionary,Hubert Banville - Visionary FR,Hubert Banville - Visionary ES
teamMemberDano,Dano Morrison - Developer,Dano Morrison - Developer FR,Dano Morrison - Developer ES
teamMemberGeordan,Geordan King - Producer,Geordan King - Producer FR,Geordan King - Producer ES
teamMemberMichael,Michael Vu - Author,Michael Vu - Author FR,Michael Vu - Author ES
teamMemberJoanna,Joanna Jang - Author,Joanna Jang - Author FR,Joanna Jang - Author ES
teamMemberBrian,Brian Stern - Software Architect,Brian Stern - Software Architect FR,Brian Stern - Software Architect ES
teamMemberSteve,Steve Harjula - Visual Design,Steve Harjula - Visual Design FR,Steve Harjula - Visual Design ES
teamMemberMiles,Miles McCraw - Animator,Miles McCraw - Animator FR,Miles McCraw - Animator ES
,,,
//component.js,//component.js,//component.js,//component.js
needsPermission,EEG 101 needs your permission,EEG 101 needs your permission FR,EEG 101 needs your permission ES
requiresLocation,This app requires coarse location permission in order to discover and connect to the 2016 Muse.,This app requires coarse location permission in order to discover and connect to the 2016 Muse. FR,This app requires coarse location permission in order to discover and connect to the 2016 Muse. ES
statusConnected,Connected,Connected FR,Connected ES
statusNoMusesTitle,No Muses were detected.,No Muses were detected. FR,No Muses were detected. ES
statusNoMusesDescription,"If you don\'t own a Muse, don\'t worry! We are working on an offline mode that should be avaible in early 2017!","If you don\'t own a Muse, don\'t worry! We are working on an offline mode that should be avaible in early 2017! FR","If you don\'t own a Muse, don\'t worry! We are working on an offline mode that should be avaible in early 2017! ES"
searchAgain, SEARCH AGAIN , SEARCH AGAIN  FR, SEARCH AGAIN  ES
statusConnecting,Connecting…,Connecting... FR,Connecting…  ES
statusDisconnected,Searching for Muses…,Searching for Muses… FR,Searching for Muses… ES
